dataset,pool_label,pool_size,query_id,ranker,n_candidates,n_scored,coverage_fraction,n_pairs,eligible_pairs,pairwise_eligibility_fraction,native_ties,tie_abstention_fraction_of_eligible,missing_abstention_fraction,vote_margin_threshold,nontied_eligible_pairs,retained_votes,vote_margin_abstention_fraction_of_nontied,final_retained_vote_fraction_of_all_pairs
scidocs,canonical,20,78495383450e02c5fe817e408726134b3084905d,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,188,0.010526315789473684,0.9894736842105263
scidocs,canonical,20,78495383450e02c5fe817e408726134b3084905d,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,78,0.5894736842105263,0.4105263157894737
scidocs,canonical,20,78495383450e02c5fe817e408726134b3084905d,minilm,20,11,0.55,190,55,0.2894736842105263,0,0.0,0.7105263157894737,0.2737660428484724,55,16,0.7090909090909091,0.08421052631578947
scidocs,canonical,20,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,bm25,20,18,0.9,190,153,0.8052631578947368,0,0.0,0.19473684210526315,0.004679549324860623,153,148,0.032679738562091505,0.7789473684210526
scidocs,canonical,20,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,tfidf,20,19,0.95,190,171,0.9,0,0.0,0.1,0.3403809610419755,171,48,0.7192982456140351,0.25263157894736843
scidocs,canonical,20,7dcb308b9292a8bc87d6f7793d2ca5e0e19dfa40,minilm,20,16,0.8,190,120,0.631578947368421,0,0.0,0.3684210526315789,0.2737660428484724,120,59,0.5083333333333333,0.3105263157894737
scidocs,canonical,20,8c872ecd87945e71fcd9fa1b6cb1133cfe805bf2,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,186,0.021052631578947368,0.9789473684210527
scidocs,canonical,20,8c872ecd87945e71fcd9fa1b6cb1133cfe805bf2,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,96,0.49473684210526314,0.5052631578947369
scidocs,canonical,20,8c872ecd87945e71fcd9fa1b6cb1133cfe805bf2,minilm,20,11,0.55,190,55,0.2894736842105263,0,0.0,0.7105263157894737,0.2737660428484724,55,27,0.509090909090909,0.14210526315789473
scidocs,canonical,20,3a63667284dc8b9687ed1620406030bfe39af3c9,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,186,0.021052631578947368,0.9789473684210527
scidocs,canonical,20,3a63667284dc8b9687ed1620406030bfe39af3c9,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,87,0.5421052631578948,0.45789473684210524
scidocs,canonical,20,3a63667284dc8b9687ed1620406030bfe39af3c9,minilm,20,20,1.0,190,190,1.0,0,0.0,0.0,0.2737660428484724,190,107,0.4368421052631579,0.5631578947368421
scidocs,canonical,20,071f47b7bc5830643e31dbed82e0375bf9b26559,bm25,20,19,0.95,190,171,0.9,0,0.0,0.1,0.004679549324860623,171,169,0.011695906432748537,0.8894736842105263
scidocs,canonical,20,071f47b7bc5830643e31dbed82e0375bf9b26559,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,38,0.8,0.2
scidocs,canonical,20,071f47b7bc5830643e31dbed82e0375bf9b26559,minilm,20,12,0.6,190,66,0.3473684210526316,0,0.0,0.6526315789473685,0.2737660428484724,66,26,0.6060606060606061,0.1368421052631579
scidocs,canonical,20,ee9596725d1db17f2b1e2207dd3ea260343bfe4f,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,186,0.021052631578947368,0.9789473684210527
scidocs,canonical,20,ee9596725d1db17f2b1e2207dd3ea260343bfe4f,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,75,0.6052631578947368,0.39473684210526316
scidocs,canonical,20,ee9596725d1db17f2b1e2207dd3ea260343bfe4f,minilm,20,20,1.0,190,190,1.0,0,0.0,0.0,0.2737660428484724,190,101,0.46842105263157896,0.531578947368421
scidocs,canonical,20,a65196dfff31425281c690a7f2ca65247147da6b,bm25,20,19,0.95,190,171,0.9,0,0.0,0.1,0.004679549324860623,171,168,0.017543859649122806,0.8842105263157894
scidocs,canonical,20,a65196dfff31425281c690a7f2ca65247147da6b,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,65,0.6578947368421053,0.34210526315789475
scidocs,canonical,20,a65196dfff31425281c690a7f2ca65247147da6b,minilm,20,15,0.75,190,105,0.5526315789473685,0,0.0,0.4473684210526316,0.2737660428484724,105,47,0.5523809523809524,0.24736842105263157
scidocs,canonical,20,a04b5b99f5d9d8748843e870536a4a9f65562012,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,188,0.010526315789473684,0.9894736842105263
scidocs,canonical,20,a04b5b99f5d9d8748843e870536a4a9f65562012,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,79,0.5842105263157895,0.41578947368421054
scidocs,canonical,20,a04b5b99f5d9d8748843e870536a4a9f65562012,minilm,20,20,1.0,190,190,1.0,0,0.0,0.0,0.2737660428484724,190,80,0.5789473684210527,0.42105263157894735
scidocs,canonical,20,de8e80d409aaaa3244da4f2cb5b5bb053d453cee,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,190,0.0,1.0
scidocs,canonical,20,de8e80d409aaaa3244da4f2cb5b5bb053d453cee,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,52,0.7263157894736842,0.2736842105263158
scidocs,canonical,20,de8e80d409aaaa3244da4f2cb5b5bb053d453cee,minilm,20,19,0.95,190,171,0.9,0,0.0,0.1,0.2737660428484724,171,83,0.5146198830409356,0.4368421052631579
scidocs,canonical,20,ae0fb9c6ebb8ce12610c477d2388447a13dc4694,bm25,20,18,0.9,190,153,0.8052631578947368,0,0.0,0.19473684210526315,0.004679549324860623,153,153,0.0,0.8052631578947368
scidocs,canonical,20,ae0fb9c6ebb8ce12610c477d2388447a13dc4694,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,65,0.6578947368421053,0.34210526315789475
scidocs,canonical,20,ae0fb9c6ebb8ce12610c477d2388447a13dc4694,minilm,20,8,0.4,190,28,0.14736842105263157,0,0.0,0.8526315789473684,0.2737660428484724,28,17,0.39285714285714285,0.08947368421052632
scidocs,canonical,20,648678f1edab0d2139958070744b826d2b24c79e,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,189,0.005263157894736842,0.9947368421052631
scidocs,canonical,20,648678f1edab0d2139958070744b826d2b24c79e,tfidf,20,19,0.95,190,171,0.9,0,0.0,0.1,0.3403809610419755,171,60,0.6491228070175439,0.3157894736842105
scidocs,canonical,20,648678f1edab0d2139958070744b826d2b24c79e,minilm,20,11,0.55,190,55,0.2894736842105263,0,0.0,0.7105263157894737,0.2737660428484724,55,33,0.4,0.1736842105263158
scidocs,canonical,20,8a6080396fa7195c7c627bea4b2aeeb9ca39b5f8,bm25,20,19,0.95,190,171,0.9,0,0.0,0.1,0.004679549324860623,171,166,0.029239766081871343,0.8736842105263158
scidocs,canonical,20,8a6080396fa7195c7c627bea4b2aeeb9ca39b5f8,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,38,0.8,0.2
scidocs,canonical,20,8a6080396fa7195c7c627bea4b2aeeb9ca39b5f8,minilm,20,6,0.3,190,15,0.07894736842105263,0,0.0,0.9210526315789473,0.2737660428484724,15,11,0.26666666666666666,0.05789473684210526
scidocs,canonical,20,4715401473dca02ebaa5bdd4d4003705ed91c380,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,189,0.005263157894736842,0.9947368421052631
scidocs,canonical,20,4715401473dca02ebaa5bdd4d4003705ed91c380,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,94,0.5052631578947369,0.49473684210526314
scidocs,canonical,20,4715401473dca02ebaa5bdd4d4003705ed91c380,minilm,20,20,1.0,190,190,1.0,0,0.0,0.0,0.2737660428484724,190,102,0.4631578947368421,0.5368421052631579
scidocs,canonical,20,6519bf5580fcdcc9c50fd72c6c8dc5d040d443e8,bm25,20,20,1.0,190,190,1.0,0,0.0,0.0,0.004679549324860623,190,189,0.005263157894736842,0.9947368421052631
scidocs,canonical,20,6519bf5580fcdcc9c50fd72c6c8dc5d040d443e8,tfidf,20,20,1.0,190,190,1.0,0,0.0,0.0,0.3403809610419755,190,76,0.6,0.4
scidocs,canonical,20,6519bf5580fcdcc9c50fd72c6c8dc5d040d443e8,minilm,20,20,1.0,190,190,1.0,0,0.0,0.0,0.2737660428484724,190,103,0.45789473684210524,0.5421052631578948
