path,file_type,size_bytes,tracked_status,last_git_modification,classification,canonical_status,dependency_notes,recommended_action,confidence
0706C337-D693-4E53-A51D-87B7D8AD0FA5.png,image,1415539,tracked,2026-07-14,unclear and requiring review,no,No reference found in *.py/*.tex/*.md; appears to be an ad hoc screenshot/asset dropped at repo root,move to docs/assets/legacy_screenshots/ or delete after manual confirmation none are cited in a figure/manuscript,medium
74556F5F-D495-41DF-9EDE-203C4CD1008A.png,image,1116727,tracked,2026-07-14,unclear and requiring review,no,No reference found in *.py/*.tex/*.md; appears to be an ad hoc screenshot/asset dropped at repo root,move to docs/assets/legacy_screenshots/ or delete after manual confirmation none are cited in a figure/manuscript,medium
CD2E2086-A0D6-46EC-BD96-2B6F2CF1A432.png,image,1046164,tracked,2026-07-12,unclear and requiring review,no,No reference found in *.py/*.tex/*.md; appears to be an ad hoc screenshot/asset dropped at repo root,move to docs/assets/legacy_screenshots/ or delete after manual confirmation none are cited in a figure/manuscript,medium
FC0356B8-3DD3-4014-8903-4368933D867D.png,image,1330215,tracked,2026-07-12,unclear and requiring review,no,No reference found in *.py/*.tex/*.md; appears to be an ad hoc screenshot/asset dropped at repo root,move to docs/assets/legacy_screenshots/ or delete after manual confirmation none are cited in a figure/manuscript,medium
IMG_5259.png,image,1575108,tracked,2026-07-12,unclear and requiring review,no,No reference found in *.py/*.tex/*.md; appears to be an ad hoc screenshot/asset dropped at repo root,move to docs/assets/legacy_screenshots/ or delete after manual confirmation none are cited in a figure/manuscript,medium
IMG_5260.png,image,155088,tracked,2026-07-12,unclear and requiring review,no,No reference found in *.py/*.tex/*.md; appears to be an ad hoc screenshot/asset dropped at repo root,move to docs/assets/legacy_screenshots/ or delete after manual confirmation none are cited in a figure/manuscript,medium
IMG_5261.png,image,118213,tracked,2026-07-12,unclear and requiring review,no,No reference found in *.py/*.tex/*.md; appears to be an ad hoc screenshot/asset dropped at repo root,move to docs/assets/legacy_screenshots/ or delete after manual confirmation none are cited in a figure/manuscript,medium
IMG_5265.png,image,285903,tracked,2026-07-12,unclear and requiring review,no,No reference found in *.py/*.tex/*.md; appears to be an ad hoc screenshot/asset dropped at repo root,move to docs/assets/legacy_screenshots/ or delete after manual confirmation none are cited in a figure/manuscript,medium
IMG_5268.png,image,185465,tracked,2026-07-12,unclear and requiring review,no,No reference found in *.py/*.tex/*.md; appears to be an ad hoc screenshot/asset dropped at repo root,move to docs/assets/legacy_screenshots/ or delete after manual confirmation none are cited in a figure/manuscript,medium
IMG_5280.png,image,130363,tracked,2026-07-13,unclear and requiring review,no,No reference found in *.py/*.tex/*.md; appears to be an ad hoc screenshot/asset dropped at repo root,move to docs/assets/legacy_screenshots/ or delete after manual confirmation none are cited in a figure/manuscript,medium
failure_taxonomy_distribution_uniform.pdf,figure(pdf),17286,tracked,2026-07-13,historical but useful artifact,no,Named like early manuscript figures; current figures live under papers/JDIQ_2026/figures and manuscript/figures_v2 -- these root copies are pre-JDIQ_2026 (multi-scorer era) renders of similarly-named plots,move to figures/legacy/ (verify none is \includegraphics'd from any current .tex first),medium
fig_mean_ndcg_hybrids_clean.pdf,figure(pdf),21772,tracked,2026-07-12,historical but useful artifact,no,Named like early manuscript figures; current figures live under papers/JDIQ_2026/figures and manuscript/figures_v2 -- these root copies are pre-JDIQ_2026 (multi-scorer era) renders of similarly-named plots,move to figures/legacy/ (verify none is \includegraphics'd from any current .tex first),medium
figure1_preference_graph_pipeline.pdf,figure(pdf),255470,tracked,2026-07-12,historical but useful artifact,no,Named like early manuscript figures; current figures live under papers/JDIQ_2026/figures and manuscript/figures_v2 -- these root copies are pre-JDIQ_2026 (multi-scorer era) renders of similarly-named plots,move to figures/legacy/ (verify none is \includegraphics'd from any current .tex first),medium
figure2_graph_inconsistency_by_regime.pdf,figure(pdf),395174,tracked,2026-07-12,historical but useful artifact,no,Named like early manuscript figures; current figures live under papers/JDIQ_2026/figures and manuscript/figures_v2 -- these root copies are pre-JDIQ_2026 (multi-scorer era) renders of similarly-named plots,move to figures/legacy/ (verify none is \includegraphics'd from any current .tex first),medium
